frame,day,entity_type,id,x_position,y_position,fuel_level,state,refuel_point_x,refuel_point_y
0,1,vehicle,1,12.0,10.0,99.0,patrolling,,
0,1,vehicle,2,30.0,12.0,99.0,patrolling,,
0,1,vehicle,3,12.0,30.0,99.0,patrolling,,
0,1,vehicle,4,28.0,30.0,99.0,patrolling,,
0,1,refuel_vehicle,1,0,20,,idle,,
0,1,refuel_vehicle,2,20,0,,idle,,
0,1,refuel_vehicle,3,40,40,,idle,,
0,1,hub,1,0,20,,,,
0,1,hub,2,20,0,,,,
0,1,hub,3,40,40,,,,
1,1,vehicle,1,12.0,11.0,98.5,patrolling,,
1,1,vehicle,2,31.0,12.0,98.5,patrolling,,
1,1,vehicle,3,12.0,29.0,98.5,patrolling,,
1,1,vehicle,4,27.0,30.0,98.5,patrolling,,
1,1,refuel_vehicle,1,0,20,,idle,,
1,1,refuel_vehicle,2,20,0,,idle,,
1,1,refuel_vehicle,3,40,40,,idle,,
1,1,hub,1,0,20,,,,
1,1,hub,2,20,0,,,,
1,1,hub,3,40,40,,,,
2,1,vehicle,1,12.0,13.0,97.5,patrolling,,
2,1,vehicle,2,31.0,13.0,98.0,patrolling,,
2,1,vehicle,3,13.0,29.0,98.0,patrolling,,
2,1,vehicle,4,28.0,30.0,98.0,patrolling,,
2,1,refuel_vehicle,1,0,20,,idle,,
2,1,refuel_vehicle,2,20,0,,idle,,
2,1,refuel_vehicle,3,40,40,,idle,,
2,1,hub,1,0,20,,,,
2,1,hub,2,20,0,,,,
2,1,hub,3,40,40,,,,
3,1,vehicle,1,13.0,13.0,97.0,patrolling,,
3,1,vehicle,2,31.0,11.0,97.0,patrolling,,
3,1,vehicle,3,15.0,29.0,97.0,patrolling,,
3,1,vehicle,4,28.0,31.0,97.5,patrolling,,
3,1,refuel_vehicle,1,0,20,,idle,,
3,1,refuel_vehicle,2,20,0,,idle,,
3,1,refuel_vehicle,3,40,40,,idle,,
3,1,hub,1,0,20,,,,
3,1,hub,2,20,0,,,,
3,1,hub,3,40,40,,,,
4,1,vehicle,1,13.0,14.0,96.5,patrolling,,
4,1,vehicle,2,31.0,12.0,96.5,patrolling,,
4,1,vehicle,3,15.0,31.0,96.0,patrolling,,
4,1,vehicle,4,30.0,31.0,96.5,patrolling,,
